最优灵敏度,适配评分,适配等级,环境适配,趋势捕获率%,效率分,回撤控分,资金分,胜率分,波动分,基金代码,基金名称,所属板块,回测区间,交易天数,策略收益%,年化收益%,买入持有%,买持年化%,超额收益%,最大回撤%,买持最大回撤%,回撤起始,回撤结束,回撤持续天数,夏普比率,卡尔马比率,日均波动%,最大单日涨%,最大单日跌%,均值回归率%,买入次数,卖出次数,胜率%,月度胜率%,平均盈利,平均亏损,盈亏比,中位盈亏,P10盈亏,P90盈亏,最大单笔盈利,最大单笔亏损,最大连续亏损次数,最大连续盈利次数,平均仓位%,持仓天数占比%,空仓天数占比%,平均持仓天数,中位持仓天数,最长持仓天数,已实现盈亏,剩余现金,持仓市值,期末总值,牛市半年数,牛市策略收益%,牛市买持收益%,熊市半年数,熊市策略收益%,熊市买持收益%,震荡半年数,震荡策略收益%,震荡买持收益%,牛市天数,震荡天数,熊市天数,信号:低位建仓,信号:冷却期后建仓,信号:分批止盈,信号:反弹建仓,信号:大跌抄底,信号:常规止损(L2),信号:延迟回补(分批止盈),信号:延迟回补(强势止盈),信号:延迟回补(慢涨止盈),信号:延迟回补(扭亏分批止盈),信号:延迟回补(扭亏强势止盈),信号:延迟回补(扭亏慢涨止盈),信号:延迟回补(扭亏止盈卖出),信号:延迟回补(止盈卖出),信号:强势止盈,信号:慢涨止盈,信号:扭亏分批止盈,信号:扭亏强势止盈,信号:扭亏慢涨止盈,信号:扭亏止盈卖出,信号:极端止损(L3),信号:止盈卖出,信号:温和回调建仓,信号:灾难保底减仓,信号:灾难保护,信号:灾难保护(暴跌),信号:短期深亏安全网,信号:补仓(第1次),信号:补仓(第2次),信号:补仓(第3次),信号:趋势确认减仓,信号:趋势转弱,信号:跌势放缓建仓,信号:连跌低吸,分批止盈:次数,分批止盈:胜率%,分批止盈:总盈亏,分批止盈:平均盈亏,常规止损(L2):次数,常规止损(L2):胜率%,常规止损(L2):总盈亏,常规止损(L2):平均盈亏,强势止盈:次数,强势止盈:胜率%,强势止盈:总盈亏,强势止盈:平均盈亏,慢涨止盈:次数,慢涨止盈:胜率%,慢涨止盈:总盈亏,慢涨止盈:平均盈亏,扭亏分批止盈:次数,扭亏分批止盈:胜率%,扭亏分批止盈:总盈亏,扭亏分批止盈:平均盈亏,扭亏强势止盈:次数,扭亏强势止盈:胜率%,扭亏强势止盈:总盈亏,扭亏强势止盈:平均盈亏,扭亏慢涨止盈:次数,扭亏慢涨止盈:胜率%,扭亏慢涨止盈:总盈亏,扭亏慢涨止盈:平均盈亏,扭亏止盈卖出:次数,扭亏止盈卖出:胜率%,扭亏止盈卖出:总盈亏,扭亏止盈卖出:平均盈亏,极端止损(L3):次数,极端止损(L3):胜率%,极端止损(L3):总盈亏,极端止损(L3):平均盈亏,止盈卖出:次数,止盈卖出:胜率%,止盈卖出:总盈亏,止盈卖出:平均盈亏,灾难保底减仓:次数,灾难保底减仓:胜率%,灾难保底减仓:总盈亏,灾难保底减仓:平均盈亏,灾难保护:次数,灾难保护:胜率%,灾难保护:总盈亏,灾难保护:平均盈亏,灾难保护(暴跌):次数,灾难保护(暴跌):胜率%,灾难保护(暴跌):总盈亏,灾难保护(暴跌):平均盈亏,短期深亏安全网:次数,短期深亏安全网:胜率%,短期深亏安全网:总盈亏,短期深亏安全网:平均盈亏,趋势确认减仓:次数,趋势确认减仓:胜率%,趋势确认减仓:总盈亏,趋势确认减仓:平均盈亏,趋势转弱:次数,趋势转弱:胜率%,趋势转弱:总盈亏,趋势转弱:平均盈亏
1.2,73.6,A-极佳,全天候/熊市优/震荡优,31.0,30,23.1,3.7,6.8,10,020973,易方达机器人ETF联接C,机器人,2024-06-25 ~ 2026-03-20,422,13.62,7.93,43.9,24.28,-30.28,6.77,24.59,2024-11-11,2025-04-08,188,0.74,1.17,1.492,12.2,-12.83,51.4,13,64,76.6,45.5,50.72,-75.61,0.67,0.33,-44.55,115.87,718.08,-245.68,6,15,18.3,99.5,0.5,14.9,9,48,1729.0,6544.54,4817.83,11362.37,3,16.81,54.21,1,-3.12,-13.05,1,0.25,0.84,0,407,15,2,0,9,0,0,5,0,0,0,0,2,0,1,2,1,2,7,5,1,14,3,14,0,0,0,0,2,3,2,0,0,1,1,0,9,88.9,0.77,0.09,5,0.0,-233.76,-46.75,1,0.0,0.0,0.0,2,100.0,1.49,0.74,7,100.0,34.38,4.91,5,100.0,1423.0,284.6,1,100.0,0.36,0.36,14,78.6,621.33,44.38,3,0.0,-391.94,-130.65,14,100.0,403.38,28.81,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-130.43,-65.22,0,0,0,0,1,100.0,0.42,0.42
1.3,51.2,C-一般,全天候/熊市优/震荡优,102.9,8.1,23.0,3.2,6.9,10,000796,宝盈睿丰创新混合C,机器人,2020-02-18 ~ 2026-03-20,1480,28.46,4.36,27.65,4.24,0.81,16.17,57.47,2021-09-15,2024-02-05,927,0.65,0.27,1.613,11.78,-13.31,49.8,24,199,59.3,45.9,45.02,-36.82,1.22,0.05,-37.04,53.82,853.1,-363.71,13,26,16.2,98.6,1.4,29.1,29,91,2845.82,12845.76,0.02,12845.78,5,27.7,95.76,4,-14.06,-59.9,4,12.94,3.52,0,1404,76,1,2,32,1,0,33,1,0,0,1,1,0,1,2,3,9,15,6,6,22,10,29,5,5,0,1,2,5,2,0,19,7,2,0,32,84.4,813.83,25.43,33,0.0,-822.43,-24.92,3,100.0,334.21,111.4,9,88.9,130.81,14.53,15,86.7,74.83,4.99,6,100.0,1295.95,215.99,6,66.7,3.29,0.55,22,95.5,891.66,40.53,10,0.0,-677.26,-67.73,29,100.0,1728.46,59.6,5,0.0,-10.45,-2.09,0,0,0,0,1,0.0,-7.58,-7.58,2,0.0,-0.93,-0.47,19,0.0,-948.39,-49.92,7,100.0,39.82,5.69
1.3,72.5,A-极佳,熊市优,26.3,30,23.5,4.7,9.3,5,021490,中航趋势领航混合发起C,机器人,2024-07-17 ~ 2026-03-20,405,33.91,19.92,128.81,67.37,-94.9,7.79,30.07,2024-10-08,2024-10-16,93,1.46,2.56,2.04,9.38,-14.01,50.7,13,81,85.2,61.9,65.2,-163.32,0.4,3.19,0.0,118.73,953.24,-455.35,3,26,23.3,90.4,9.6,19.6,22,53,3518.96,12809.01,581.5,13390.51,3,35.46,123.63,1,-2.85,-18.65,0,0,0,0,388,17,1,3,9,0,0,3,0,0,0,0,2,1,2,0,3,1,6,5,3,23,1,22,2,0,0,0,1,2,0,0,1,3,0,0,9,77.8,408.26,45.36,3,0.0,-301.07,-100.36,3,100.0,5.76,1.92,1,100.0,84.22,84.22,6,100.0,230.9,38.48,5,100.0,1661.35,332.27,3,100.0,7.29,2.43,23,87.0,1237.24,53.79,1,0.0,-455.35,-455.35,22,95.5,815.63,37.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-123.14,-123.14,1,0.0,-100.36,-100.36,3,100.0,48.23,16.08
0.95,41.0,C-一般,全天候/熊市优/牛市可,87.8,0,22.6,4.6,3.8,10,025942,广发新动力混合C,机器人,2025-12-02 ~ 2026-03-20,71,-0.91,-3.19,-7.44,-24.0,6.53,6.99,23.72,2026-01-12,2026-03-20,43,-0.3,-0.46,1.688,6.6,-4.98,53.9,2,16,62.5,25.0,50.3,-131.19,0.38,0.2,-125.22,147.96,160.38,-157.92,3,10,23.0,95.8,4.2,28.0,28,28,109.44,8985.59,923.37,9908.96,1,5.55,14.85,1,-6.12,-19.41,0,0,0,0,66,5,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,3,33.3,160.38,53.46,2,0.0,-268.36,-134.18,0,0,0,0,2,50.0,147.96,73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100.0,194.68,24.34,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-125.22,-125.22,0,0,0,0,0,0,0,0
1.25,63.2,B-良好,全天候/熊市优/震荡优,23.1,18.4,23.0,4.6,7.2,10,018241,嘉实制造升级股票发起式C,机器人,2023-11-01 ~ 2026-03-20,579,13.09,5.5,56.71,21.59,-43.62,8.97,32.13,2023-11-20,2024-02-05,212,0.68,0.61,1.459,10.9,-13.46,48.7,12,91,50.5,48.3,51.41,-26.98,1.91,0.01,-57.38,50.11,658.58,-130.55,21,14,22.8,99.0,1.0,21.7,23,54,1312.5,11253.77,54.8,11308.57,3,15.53,76.92,1,-3.97,-14.52,2,1.24,-7.34,0,564,15,1,1,13,2,0,34,1,0,2,0,0,0,0,1,2,6,2,4,1,9,3,12,1,0,0,0,0,3,0,0,2,3,0,0,13,84.6,338.47,26.04,34,0.0,-660.02,-19.41,2,100.0,667.94,333.97,6,100.0,305.08,50.85,2,50.0,0.01,0.01,4,100.0,11.55,2.89,1,100.0,0.01,0.01,9,88.9,23.52,2.61,3,0.0,-267.3,-89.1,12,83.3,980.07,81.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-124.95,-62.48,3,100.0,38.12,12.71
0.8,61.2,B-良好,全天候/熊市优/震荡优,31.8,19.6,17.7,5.9,8.0,10,019458,平安先进制造主题股票发起C,机器人,2023-12-14 ~ 2026-03-20,548,22.11,9.62,69.57,27.49,-47.46,14.71,29.97,2023-12-29,2024-08-27,258,0.75,0.65,1.528,10.7,-12.09,47.4,18,85,55.3,53.6,101.11,-80.63,1.25,0.02,-82.94,128.52,983.58,-558.82,14,17,29.7,98.7,1.3,18.1,22,48,2252.52,10619.49,1591.77,12211.26,3,33.52,99.5,2,-10.49,-29.03,1,0.34,0.06,0,519,29,1,0,6,1,1,13,1,0,0,0,1,0,0,1,3,0,10,5,1,12,11,16,3,0,0,2,3,5,3,0,2,1,0,1,6,100.0,189.91,31.65,13,0.0,-493.77,-37.98,3,100.0,465.87,155.29,0,0,0,0,10,60.0,51.48,5.15,5,100.0,1896.49,379.3,1,0.0,0.0,0.0,12,100.0,183.74,15.31,11,0.0,-1471.94,-133.81,16,87.5,1927.31,120.46,0,0,0,0,0,0,0,0,2,0.0,-45.5,-22.75,3,0.0,-215.21,-71.74,2,0.0,-273.14,-136.57,1,100.0,37.28,37.28
0.85,38.2,D-偏差,全天候/熊市优/牛市可,0.0,0,21.3,3.6,3.3,10,024389,中航智选领航混合发起C,机器人,2025-07-11 ~ 2026-03-20,167,-2.46,-3.69,-1.89,-2.83,-0.57,7.43,21.31,2025-08-28,2026-03-20,132,-0.5,-0.5,1.325,4.86,-6.42,51.4,4,19,68.4,22.2,26.76,-123.84,0.22,0.09,-95.1,75.6,165.26,-205.29,3,12,18.1,99.4,0.6,30.0,37,37,-23.58,6395.47,3358.68,9754.15,1,3.48,11.26,1,-5.74,-11.82,0,0,0,0,158,9,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,2,0,0,0,0,1,1,0,0,1,0,0,5,80.0,240.88,48.18,2,0.0,-166.23,-83.11,0,0,0,0,2,50.0,11.94,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-205.29,-205.29,8,87.5,78.83,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,16.29,16.29
0.95,58.4,B-良好,全天候/熊市优/震荡优,43.9,14.9,20.8,5.2,7.5,10,017968,华富科技动能混合C,机器人,2023-04-07 ~ 2026-03-20,716,26.72,8.69,60.83,18.2,-34.11,17.45,47.34,2023-07-03,2024-08-27,306,0.74,0.5,1.703,9.55,-10.85,48.8,21,114,59.6,50.0,72.87,-43.03,1.69,0.1,-41.71,93.54,790.57,-589.25,16,29,26.2,96.6,3.4,19.3,10,68,3104.54,9866.42,2805.38,12671.8,3,43.43,127.83,3,-18.48,-56.16,1,3.16,3.8,0,676,40,1,3,10,1,0,31,1,0,0,1,3,0,1,0,1,7,8,8,0,14,10,16,2,0,0,0,1,6,2,0,1,7,0,0,10,90.0,288.25,28.82,31,0.0,-607.95,-19.61,1,100.0,9.02,9.02,7,100.0,406.64,58.09,8,100.0,20.48,2.56,8,100.0,2651.34,331.42,0,0,0,0,14,100.0,387.6,27.69,10,0.0,-1113.53,-111.35,16,87.5,844.59,52.79,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-55.97,-55.97,1,0.0,-73.03,-73.03,7,100.0,347.1,49.59
0.95,69.9,B-良好,全天候/熊市优/震荡优,38.8,26.7,25,5.3,7.9,5,001770,前海开源嘉鑫混合C,机器人,2020-02-18 ~ 2026-03-20,1480,32.84,4.95,84.59,11.0,-51.75,5.56,30.13,2020-04-23,2020-05-25,1094,0.88,0.89,0.625,9.28,-11.67,39.2,10,65,78.5,52.7,79.13,-52.71,1.5,4.38,-25.06,132.58,947.7,-89.22,4,16,26.6,98.7,1.3,78.9,20,454,3561.05,9602.72,3681.11,13283.83,2,25.73,82.74,1,-1.73,-16.48,10,6.21,10.7,0,1458,22,2,2,9,0,1,3,0,0,0,0,1,0,0,0,2,10,2,4,2,6,0,18,0,0,0,0,4,4,0,0,2,3,0,0,9,44.4,34.52,3.84,3,0.0,-74.89,-24.96,2,100.0,84.09,42.05,10,100.0,270.98,27.1,2,100.0,1.27,0.64,4,100.0,1057.56,264.39,2,100.0,12.7,6.35,6,100.0,346.88,57.81,0,0,0,0,18,100.0,2074.84,115.27,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-231.91,-57.98,2,0.0,-167.58,-83.79,3,100.0,152.59,50.86
1.05,44.1,C-一般,全天候/熊市优/震荡优,53.6,0,23.3,5.1,5.7,10,008182,方正富邦信泓混合C,机器人,2020-02-18 ~ 2026-03-20,1480,-8.09,-1.43,-17.44,-3.21,9.35,18.89,70.12,2022-06-30,2024-02-05,904,-0.13,-0.08,1.251,8.19,-11.64,49.1,37,249,49.8,37.8,27.6,-36.8,0.75,0.0,-46.17,31.15,529.38,-610.31,26,26,25.5,99.0,1.0,17.6,15,76,-662.53,7867.85,1322.65,9190.5,3,9.02,128.64,6,-19.08,-112.51,4,3.4,0.59,0,1427,53,1,1,23,1,1,77,0,0,1,0,2,0,4,1,2,13,8,5,6,33,23,40,5,0,0,0,3,10,6,2,8,8,1,1,23,91.3,300.72,13.07,77,0.0,-1296.04,-16.83,2,100.0,5.71,2.85,13,100.0,204.15,15.7,8,75.0,118.76,14.85,5,100.0,1046.21,209.24,6,100.0,6.83,1.14,33,84.8,418.83,12.69,23,0.0,-2028.39,-88.19,40,87.5,1109.87,27.75,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,-267.21,-89.07,8,0.0,-492.92,-61.62,8,100.0,210.95,26.37
0.9,40.5,C-一般,熊市优,69.9,0,20.7,6.5,3.3,10,015829,永赢新能源智选混合发起C,机器人,2022-07-15 ~ 2026-03-20,894,-16.68,-5.01,-55.45,-20.38,38.77,26.53,70.99,2022-08-23,2024-02-05,866,-0.33,-0.19,1.482,9.8,-12.69,46.4,29,164,36.6,22.2,35.1,-36.22,0.97,-1.86,-58.96,24.1,696.52,-525.97,47,22,32.5,96.3,3.7,17.4,19,41,-1552.26,6568.25,1763.82,8332.07,1,17.46,53.04,5,-27.57,-96.85,2,-5.23,-14.36,0,839,55,0,2,10,1,1,62,3,0,1,0,0,0,0,1,1,8,7,3,2,21,28,4,2,0,0,1,0,8,7,1,8,9,2,0,10,100.0,369.01,36.9,62,0.0,-1463.38,-23.6,1,100.0,0.04,0.04,8,100.0,22.24,2.78,7,100.0,24.12,3.45,3,100.0,344.31,114.77,2,100.0,18.91,9.46,21,76.2,1161.13,55.29,28,0.0,-1948.73,-69.6,4,100.0,56.98,14.24,0,0,0,0,0,0,0,0,1,0.0,-39.23,-39.23,0,0,0,0,8,0.0,-206.63,-25.83,9,100.0,108.97,12.11
1.2,38.2,D-偏差,熊市优,2.7,1.0,21.7,3.9,6.6,5,016531,鹏华碳中和主题混合C,机器人,2023-06-28 ~ 2026-03-20,663,1.34,0.51,50.13,16.7,-48.79,15.53,46.72,2023-07-05,2024-09-13,304,0.1,0.03,2.147,12.36,-14.11,50.1,19,131,54.2,44.1,54.92,-68.99,0.8,0.02,-72.08,54.16,775.0,-415.73,14,29,19.3,93.2,6.8,17.8,7,65,174.16,9936.78,197.51,10134.29,3,21.64,128.2,3,-16.91,-60.46,1,0.0,2.29,0,611,52,2,2,7,1,0,24,0,0,0,0,2,0,0,1,4,4,5,4,4,10,8,38,5,3,0,1,10,4,2,0,8,1,0,0,7,71.4,133.3,19.04,24,0.0,-828.46,-34.52,4,100.0,3.56,0.89,4,50.0,125.18,31.3,5,100.0,39.18,7.84,4,100.0,1252.62,313.15,4,100.0,58.03,14.51,10,100.0,104.64,10.46,8,0.0,-1317.44,-164.68,38,94.7,2172.98,57.18,3,0.0,-79.07,-26.36,0,0,0,0,1,0.0,-44.37,-44.37,10,0.0,-542.93,-54.29,8,0.0,-913.23,-114.15,1,100.0,10.17,10.17
1.1,41.2,C-一般,熊市优,100.0,0.6,17.1,7.2,6.3,10,016076,华夏智造升级混合C,机器人,2023-02-09 ~ 2026-03-20,756,1.81,0.6,3.64,1.2,-1.83,28.81,55.73,2023-02-15,2024-08-27,422,0.11,0.02,1.467,10.2,-9.81,48.2,25,142,48.6,42.1,61.2,-50.13,1.22,0.0,-77.0,42.13,961.83,-604.23,31,29,36.0,98.5,1.5,18.5,20,47,713.57,5001.5,5179.25,10180.75,3,40.87,96.65,4,-31.87,-71.83,0,0,0,0,704,52,1,3,9,1,1,51,0,0,0,0,2,0,0,4,2,2,4,9,5,13,11,24,3,0,0,0,2,7,3,0,6,4,0,0,9,88.9,14.45,1.61,51,0.0,-1400.15,-27.45,2,100.0,26.6,13.3,2,100.0,91.5,45.75,4,100.0,178.69,44.67,9,100.0,2179.28,242.14,5,100.0,12.94,2.59,13,100.0,339.04,26.08,11,0.0,-1557.35,-141.58,24,91.7,1315.22,54.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-192.82,-96.41,6,0.0,-358.73,-59.79,4,100.0,64.9,16.23
0.85,53.7,C-一般,熊市优,8.7,8.2,23.2,4.4,7.9,10,018125,永赢先进制造智选混合发起C,机器人,2023-06-13 ~ 2026-03-20,672,9.02,3.29,103.87,30.62,-94.85,12.09,44.62,2025-03-07,2025-06-20,202,0.36,0.27,1.944,10.92,-13.34,48.7,20,108,51.9,52.9,76.65,-58.6,1.31,0.02,-104.08,118.87,682.59,-319.97,22,14,22.1,94.8,5.2,18.8,20,56,1537.9,7650.31,3251.44,10901.75,4,18.48,151.17,3,-8.55,-49.91,0,0,0,0,620,52,1,1,1,1,0,35,0,0,0,0,1,0,0,1,3,0,3,5,1,20,7,23,3,0,0,1,0,6,2,1,4,5,2,1,1,100.0,31.71,31.71,35,0.0,-1572.34,-44.92,3,100.0,811.58,270.53,0,0,0,0,3,100.0,201.65,67.22,5,100.0,407.08,81.42,1,100.0,66.3,66.3,20,90.0,602.66,30.13,7,0.0,-857.69,-122.53,23,87.0,2114.42,91.93,0,0,0,0,0,0,0,0,1,0.0,-24.0,-24.0,0,0,0,0,4,0.0,-300.29,-75.07,5,100.0,56.82,11.36
1.3,61.2,B-良好,全天候/熊市优/震荡优,13.4,17.4,21.5,4.6,7.7,10,007509,华商润丰灵活配置混合C,机器人,2020-02-18 ~ 2026-03-20,1480,35.96,5.37,269.11,24.9,-233.15,9.28,27.32,2023-06-20,2024-02-05,328,0.82,0.58,1.0,11.8,-12.61,47.4,28,192,80.2,51.4,30.23,-44.1,0.69,0.45,-0.25,53.82,686.75,-243.01,16,19,23.0,99.1,0.9,18.7,2,103,3597.62,13530.6,65.27,13595.87,5,26.19,154.74,1,-1.98,-11.09,7,7.4,10.81,0,1467,13,1,2,24,0,1,14,4,0,1,3,1,0,2,2,1,15,22,10,16,39,7,40,1,0,0,0,2,6,3,0,1,1,1,0,24,91.7,397.39,16.56,14,0.0,-308.85,-22.06,1,100.0,1.3,1.3,15,93.3,344.19,22.95,22,100.0,101.54,4.62,10,100.0,1199.08,119.91,16,87.5,71.86,4.49,39,84.6,929.78,23.84,7,0.0,-311.0,-44.43,40,92.5,1610.81,40.27,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-205.25,-102.62,1,0.0,-233.29,-233.29,1,100.0,0.06,0.06
1.06,61.89,,,75.68,18.84,21.93,5.12,6.61,9.39,---,【机器人】平均,机器人,,,17.47,7.36,36.55,11.56,-19.09,11.28,35.77,,,329.36,0.67,0.93,1.47,9.85,-11.54,50.09,17.6,107.0,58.56,44.11,70.25,-55.26,1.27,3.03,-44.39,104.0,751.55,-303.73,16.73,19.39,25.6,96.97,3.03,22.34,20.03,66.67,1896.71,,,11746.62,2.58,23.48,72.45,1.91,-7.49,-31.4,2.12,1.45,-3.33,0.6,1.2,10.5,0.8,0.3,25.9,1.1,0.0,0.4,0.2,1.2,0.2,0.9,1.1,1.5,3.9,6.8,4.6,3.3,16.4,7.4,18.4,2.1,0.5,0.1,0.2,1.8,4.3,2.1,0.4,3.0,2.7,0.6,0.2,10.5,88.1,298.18,28.52,25.9,0.1,-597.4,-23.08,1.5,95.9,101.28,68.21,3.9,91.5,95.03,24.12,6.8,88.0,84.65,12.41,4.6,98.7,1142.3,249.64,3.3,93.5,20.77,6.35,16.4,89.3,647.49,39.42,7.4,0.4,-656.17,-88.74,18.4,91.4,1009.17,54.77,0.5,0.0,-2.96,-6.1,0.1,0.0,-12.63,-138.97,0.2,0.0,-6.05,-28.53,1.8,0.0,-101.4,-55.77,3.0,0.0,-176.63,-59.48,2.7,97.8,51.09,18.73
0.8,78.2,A-极佳,牛市可,70.5,30,25,4.5,8.7,10,023482,万家中证港股通创新药ETF发起式联接C,创新药,2025-04-24 ~ 2026-03-20,219,12.69,14.74,17.99,20.97,-5.3,5.43,27.28,2025-06-12,2025-12-30,187,1.36,2.72,1.778,6.54,-17.76,48.3,7,42,76.2,58.3,50.98,-21.15,2.41,1.08,-26.23,122.09,405.94,-39.08,9,18,22.3,98.2,1.8,21.2,25,32,1419.96,8501.39,2767.52,11268.91,2,12.59,27.04,0,0,0,1,-0.05,-8.42,0,211,8,0,0,4,0,1,7,0,0,0,0,0,0,0,1,0,3,1,1,2,3,2,11,1,0,0,0,0,3,0,0,1,7,0,1,4,100.0,201.44,50.36,7,0.0,-151.45,-21.64,0,0,0,0,3,100.0,7.56,2.52,1,100.0,0.08,0.08,1,100.0,42.45,42.45,2,100.0,0.17,0.09,3,100.0,529.96,176.65,2,0.0,-60.04,-30.02,11,100.0,614.86,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-0.01,-0.01,7,100.0,234.94,33.56
0.95,75.3,A-极佳,全天候/熊市优/震荡优,100.0,30,24.6,4.7,6.0,10,017963,广发医药创新混合发起式C,创新药,2023-10-24 ~ 2026-03-20,585,22.08,8.97,3.5,1.49,18.58,8.53,39.35,2023-12-01,2024-02-05,154,0.89,1.05,1.308,8.46,-11.39,47.1,19,141,42.6,40.0,54.0,-12.17,4.44,0.0,-13.31,28.61,918.48,-203.15,21,20,23.7,96.6,3.4,14.7,7,47,2412.17,9288.88,2919.11,12207.99,1,8.28,41.95,1,-2.63,-18.71,4,15.2,-10.33,0,557,28,0,2,14,0,1,61,2,0,1,1,0,1,3,0,0,3,3,3,2,32,11,6,2,0,0,0,0,5,1,0,2,4,0,0,14,100.0,62.14,4.44,61,0.0,-479.46,-7.86,0,0,0,0,3,33.3,434.97,144.99,3,100.0,112.71,37.57,3,100.0,1183.49,394.5,2,100.0,25.79,12.89,32,87.5,1325.09,41.41,11,0.0,-302.02,-27.46,6,83.3,6.54,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-46.1,-23.05,4,100.0,89.02,22.25
1.1,76.2,A-极佳,震荡优,42.4,30,23.8,3.7,8.7,10,023598,景顺长城中证港股通创新药ETF联接C,创新药,2025-04-16 ~ 2026-03-20,225,14.13,15.96,33.32,38.0,-19.19,6.75,27.03,2025-07-29,2025-12-31,111,1.83,2.36,1.743,6.07,-13.61,48.3,6,49,71.4,58.3,51.82,-38.31,1.35,0.2,-29.51,159.3,528.84,-118.9,10,12,18.6,98.2,1.8,26.3,22,40,1430.5,10860.61,552.84,11413.45,2,12.75,41.77,0,0,0,1,0.88,-8.17,0,216,9,0,1,5,0,1,8,0,0,1,0,0,0,0,0,0,2,6,0,1,5,1,18,1,0,0,0,0,1,0,0,1,2,0,1,5,80.0,501.8,100.36,8,0.0,-254.68,-31.84,0,0,0,0,2,100.0,274.06,137.03,6,83.3,0.37,0.06,0,0,0,0,1,0.0,0.0,0.0,5,100.0,227.85,45.57,1,0.0,-9.57,-9.57,18,94.4,784.34,43.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-118.9,-118.9,2,100.0,25.23,12.62
1.2,59.6,B-良好,全天候/熊市优/震荡优,326.1,14.6,25,3.1,6.9,10,006229,中欧医疗创新股票C,创新药,2020-02-18 ~ 2026-03-20,1480,26.27,4.05,-11.62,-2.08,37.89,8.32,73.1,2021-01-25,2023-08-23,1082,0.65,0.49,1.523,8.93,-16.25,50.2,28,252,48.8,45.9,39.29,-18.99,2.07,0.0,-29.86,22.54,1004.38,-143.72,33,29,15.4,98.9,1.1,20.2,17,77,2648.69,12445.39,181.24,12626.63,5,21.2,137.25,5,-0.43,-104.79,3,4.29,-10.89,0,1398,82,2,0,15,1,0,94,0,0,2,0,0,1,2,4,1,13,11,3,7,28,16,46,5,3,0,0,0,6,4,0,9,6,1,0,15,100.0,161.26,10.75,94,0.0,-1135.59,-12.08,1,100.0,0.52,0.52,13,100.0,526.47,40.5,11,81.8,10.78,0.98,3,100.0,27.58,9.19,7,71.4,13.03,1.86,28,89.3,253.06,9.04,16,0.0,-512.75,-32.05,46,100.0,3722.86,80.93,3,0.0,-0.58,-0.19,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,-534.62,-59.4,6,100.0,116.67,19.45
1.2,76.6,A-极佳,全天候/熊市优/震荡优,69.8,30,22.7,5.6,8.3,10,020111,富国恒生港股通创新药及医疗保健ETF发起式联接C,创新药,2024-01-08 ~ 2026-03-20,531,25.38,11.33,36.34,15.85,-10.96,8.34,28.6,2024-01-10,2024-07-10,172,0.93,1.36,1.603,6.97,-18.99,48.6,15,115,61.7,55.6,57.77,-41.88,1.38,0.04,-43.55,104.14,753.07,-245.52,17,35,28.0,98.3,1.7,21.5,23,55,2551.94,12171.91,366.16,12538.07,3,30.96,71.53,1,-6.26,-18.46,1,0.71,-9.17,0,508,23,0,3,7,1,1,30,0,0,0,0,1,0,2,0,1,0,4,3,3,15,5,42,2,0,0,0,0,4,1,0,2,3,0,0,7,100.0,485.43,69.35,30,0.0,-908.01,-30.27,1,100.0,0.02,0.02,0,0,0,0,4,50.0,0.12,0.03,3,100.0,921.08,307.03,3,0.0,0.0,0.0,15,100.0,1518.73,101.25,5,0.0,-243.72,-48.74,42,95.2,1139.15,27.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-398.0,-199.0,3,100.0,37.14,12.38
